state,district,tehsil,village,lgd_code,khasra_no,guid
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,191/1,bb83d12e-3a3a-433f-8c41-496b6dd97b2d
Telangana,Adilabad,Adilabad Rural,Arli (Buzurg),568987,82,ccebd1c8-7d09-49c1-bb33-e3cecabe9b88
Telangana,Adilabad,Adilabad Rural,Ankoli,569001,92/2,5593ea13-179a-4c28-be22-5a69d0ef42b3
Telangana,Adilabad,Adilabad Rural,Dimma,568978,31,daf1af6e-1a93-4735-ba20-f9c309a70ce0
Telangana,Adilabad,Adilabad Rural,Ramai,568990,o/131355,47ee24f7-182c-4f67-a8ff-3e1aae8f79de
Telangana,Adilabad,Adilabad Rural,Anukunta,568993,88,4217f52e-64c0-427c-a40b-d28b56d7f539
Telangana,Adilabad,Adilabad Rural,Landasangvi,568985,12,9414ca30-e67d-4ff1-94da-a7b02703968c
Telangana,Adilabad,Adilabad Rural,Belluri,569009,25,b19399f6-d442-4009-9d31-921f3344fc40
Telangana,Adilabad,Adilabad Rural,Wanwat,569008,10,a5996f14-90f8-491a-a6f5-ecb13a234ccc
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,158,99fb9e92-e549-4ec3-bc51-3836cf006f15
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,o/129267,1f82e41c-0abc-4185-bf22-cfe7a5e58710
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,4,74e8a0aa-4a6e-455a-a86a-08a883752c6e
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,80,f4c133ca-d80c-4fa0-99a5-460deb61311b
Telangana,Adilabad,Adilabad Rural,Maleborgaon,569003,16/2,86899017-f4f2-48c9-86fc-440e3438f3f9
Telangana,Adilabad,Adilabad Rural,Anukunta,568993,3,e256c8d5-47cd-4ade-8a61-72e78147e6e5
Telangana,Adilabad,Adilabad Rural,Chichdhari,569016,14,83d02771-391e-48a3-84c9-dcf0bf206161
Telangana,Adilabad,Adilabad Rural,Wanwat,569008,16/1,8f435da9-ab2e-435c-88b0-9e3e3259b8bd
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/12/1,1a31746f-651e-4c8c-a452-ba5c9c355784
Telangana,Adilabad,Adilabad Rural,Arli (Buzurg),568987,64,9ff26def-8fd7-451f-86a6-db7a259f4ce9
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,91/2,10345e35-ac14-4e56-a7c2-a1326d915d1f
Telangana,Adilabad,Adilabad Rural,Chinchughat,569004,40/36,f4e49b53-45ed-43f6-a089-eed2e7e80b37
Telangana,Adilabad,Adilabad Rural,Anukunta,568993,44,e441d00e-a06e-4249-b408-e188e3b30cf5
Telangana,Adilabad,Adilabad Rural,Bheemseri,568982,42,a3184377-9837-42d2-956a-c4ec921be324
Telangana,Adilabad,Adilabad Rural,Burnoor,568999,13/24,6f6fb563-48e4-4b9f-993a-9643f1a19e38
Telangana,Adilabad,Adilabad Rural,Maleborgaon,569003,16/7,17a238eb-6d33-4b14-b8dd-1d554e3750ae
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,45,a07010ac-5f53-4bd7-afea-020aba724d5b
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/71,11cd85b8-cba6-4ab9-8649-b867199ab2eb
Telangana,Adilabad,Adilabad Rural,Ankoli,569001,104,11af9377-3b16-42b9-9117-b5730c1ca724
Telangana,Adilabad,Adilabad Rural,Arli (Buzurg),568987,34/2,a8aaa775-b509-4fc8-a2a6-70bc56672139
